age (years), foundation coins, miners coins, coins total
0, 0, 0, 0
2.0, 3941997, 35478000, 39419997
2.2465753424657535, 4233594, 39852000, 44085594
2.493150684931507, 4330792, 44225998, 48556791
2.73972602739726, 4330792, 48502795, 52833588
2.9863013698630136, 4330792, 52585192, 56915985
3.232876712328767, 4330792, 56473189, 60803982
3.4794520547945207, 4330792, 60166786, 64497579
3.7260273972602738, 4330792, 63665983, 67996776
3.9726027397260273, 4330792, 66970780, 71301573
4.219178082191781, 4330792, 70081177, 74411970
4.465753424657534, 4330792, 72997174, 77327967
4.712328767123288, 4330792, 75718771, 80049564
4.958904109589041, 4330792, 78245968, 82576761
5.205479452054795, 4330792, 80578765, 84909558
5.4520547945205475, 4330792, 82717162, 87047955
5.698630136986301, 4330792, 84661159, 88991952
5.945205479452055, 4330792, 86410756, 90741549
6.191780821917808, 4330792, 87965953, 92296746
6.438356164383562, 4330792, 89326750, 93657543
6.684931506849315, 4330792, 90493147, 94823940
6.931506849315069, 4330792, 91465144, 95795937
7.178082191780822, 4330792, 92242741, 96573534
7.424657534246576, 4330792, 92825938, 97156731
7.671232876712328, 4330792, 93214735, 97545528
7.917804414003045, 4330792, 93409132, 97739925
